ID,name,sort.name,Gender
6692,Charles Francis Atkinson,"Atkinson, Charles Francis",Male
6997,Bernard W. Henderson,"Henderson, Bernard W.",Male
7465,Carl van Doren,"Van Doren, Carl",Male
6172,John Addington Symonds,"Symonds, John Addington",Male
5772,Rhys Davies,"Davies, Rhys",Male
7870,Reginald James White,"White, Reginald James",Male
5746,Ernest Thompson Seton,"Seton, Ernest Thompson",Male
7636,Holbrook Jackson,"Jackson, George Holbrook",Male
10195,William Henry Herndon,"Herndon, William Henry",Male
6907,Louis Untermeyer,"Untermeyer, Louis",Male
8256,Cyril Hume,"Hume, Cyril",Male
10947,"H, Godwin Baynes","Baynes, H. Godwin",Male
6187,Gilbert Frankau,"Frankau, Gilbert",Male
8167,E. F. Carritt,"Carritt, E. F.",Male
6045,Charles Percy Sanger,"Sanger, Charles Percy",Male
6914,A. E. Chamot,"Chamot, A. E.",Male
5514,Ronald Arbuthnott Knox,"Knox, Ronald Arbuthnott",Male
6239,Panteleimon Romanov,"Romanov, Panteleimon",Male
5958,Robert Wilson Lynd,"Lynd, Robert Wilson",Male
6203,Stephen Gwynn,"Gwynn, Stephen Lucius",Male
8247,Walter Edwin Peck,"Peck, Walter Edwin",Male
7237,Bernard Hart,"Hart, Bernard",Male
8102,S. C. Cronwright-Schreiner,"Cronwright-Schreiner, S. C.",Male
7285,Baynard Kendrick,"Kendrick, Baynard",Male
10428,A. Hamilton Gibbs,"Gibbs, A. Hamilton",Male
6336,Robert Wolf,"Wolf, Robert",Male
7454,Matthew Josephson,"Josephson, Matthew",Male
10225,Pierre Corneille,"Corneille, Pierre",Male
7577,Aleister Crowley,"Crowley, Aleister",Male
7970,René Descartes,"Descartes, René",Male
5860,John Dos Passos,"Dos Passos, John",Male
7066,Joris-Karl Huysmans,"Huysmans, Joris-Karl",Male
5623,Wyndham Lewis,"Lewis, Wyndham",Male
5838,Samuel Richardson,"Richardson, Samuel",Male
6911,Algernon Charles Swinburne,"Swinburne, Algernon Charles",Male
6130,Ivan Turgenev / Иван Сергеевич Тургенев,"Turgenev, Ivan",Male
6818,Henry Vaughan,"Vaughan, Henry",Male
6727,Dante Gabriel Rossetti,"Rossetti, Dante Gabriel",Male
6357,Max Beerbohm,"Beerbohm, Max",Male
6782,Clifford Odets,"Odets, Clifford",Male
6405,Ronald Firbank,"Firbank, Ronald",Male
148,Havelock Ellis,"Ellis, Havelock",Male
5652,Edwin Muir,"Muir, Edwin",Male
7005,Roger Eliot Fry,"Fry, Roger Eliot",Male
6700,Thomas Hughes,"Hughes, Thomas",Male
